,Name,Name2,Bedrooms,Price
172,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
173,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
174,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
175,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
176,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
177,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
178,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
179,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
180,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
181,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
182,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
183,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
184,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
185,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
186,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
187,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
188,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
189,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
190,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
191,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
192,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
193,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
194,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
195,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
196,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
197,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
198,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
199,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
200,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
201,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
202,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
203,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
204,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
205,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
206,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
207,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
208,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
209,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
210,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
211,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
212,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
213,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
214,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
215,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
216,Private room in Windsor,Private BR W/ Spectacular River View Near UWin,Cozy Private BR in a basement/queen bed+free Wifi🎖,64
217,Private room in Windsor,The second room is beautiful!!!,The second room is beautiful!!!,54
218,Bungalow in Windsor,Heart of East Windsor,"Exclusive Boutique Hotel, Private 1 Bedroom Suite",92
219,Private room in Windsor,The fourth room is beautiful !!!,The fourth room is beautiful !!!,54
220,Private room in Windsor,Cozy Private BR in a basement/queen bed+free Wifi🎖,Year Round Hot Tub at The Gem!,75
221,Home in Windsor,"Couple's Romantic Retreat with hot tub, fire pit.",Professionals Favorite Place,322
222,Home in Windsor,Stylish Suite Near Waterfront & Downtown,"Couple's Romantic Retreat with hot tub, fire pit.",176
223,Private room in Windsor,Private BR W/ Spectacular River View Near UWindsor,Private BR W/ Spectacular River View Near UWindsor,64
224,Cottage in Windsor,"Serene, Cozy Cottage on the water.",Stylish Suite Near Waterfront & Downtown,195
225,Cottage in Lakeshore,Lake House on Lake St Clair,Private Master Room Windsor,165
226,Private room in Windsor,Private Master Room Windsor,"Serene, Cozy Cottage on the water.",74
227,Loft in Windsor,Charming Erie loft in the heart of Little Italy,Charming Erie loft in the heart of Little Italy,232
228,Private room in Windsor,1 Private room | 2 guests max,Lake House on Lake St Clair,52
229,Guest suite in Windsor,Spacious 1 Bedroom Walkout Basement Unit,1 Private room | 2 guests max,111
230,Private room in Windsor,King Bedroom in a newly built house,King Bedroom in a newly built house,66
231,Private room in Windsor,Cheerful Townhouse in heart of Walkerville,Spacious 1 Bedroom Walkout Basement Unit,92
232,Private room in Windsor,Studio in Trendy & Walkable Olde Walkerville,Cheerful Townhouse in heart of Walkerville,90
233,Villa in Windsor,Cheerful 4-bedroom home by the river.,Studio in Trendy & Walkable Olde Walkerville,279
